"locationid";"objectid";"hasmenu";"areamanager";"open24hours";"address";"city";"state";"zip";"longitude";"latitude";"regionaldirector";"telephone";"isactive";"storename";"lastupdated";"storenumber";"storeopen";"storeclose";"hasfuel";"unleadedprice";"plusprice";"premiumprice";"geom"
8623;"53da88cee4b06d83580624e0";t;"ADAMS, CHRISTOPHER";t;"150 Pike View Rd.";"Midlothian";"VA";"23113";-77.698885;37.513232;"RUPERT, MICHELLE";"804-794-4518";f;"WAWA, STORE # 8623";"2017-09-01 16:01:00";8623;"00:00:00";"00:00:00";t;2.359;2.679;2.959;"0101000020E61000008FAA2688BA6C53C05EA10F96B1C14240"
657;"53da88cce4b06d83580624cb";t;"ADAMS, CHRISTOPHER";t;"12001 Southshore Point Dr.";"Midlothian";"VA";"23112";-77.665124;37.405074;"RUPERT, MICHELLE";"804-639-2015";f;"WAWA, STORE # 0657";"2017-09-01 16:01:00";657;"00:00:00";"00:00:00";t;2.359;2.569;2.879;"0101000020E610000039F24064916A53C0DE3AFF76D9B34240"
674;"53da88c3e4b06d835806234e";t;"ADAMS, CHRISTOPHER";t;"3850 North Baily Bridge Rd.";"Midlothian";"VA";"23112";-77.610501;37.434564;"RUPERT, MICHELLE";"804-763-6004";f;"WAWA, STORE # 0674";"2017-09-01 16:01:00";674;"00:00:00";"00:00:00";t;2.359;2.539;2.839;"0101000020E6100000384BC972126753C06D020CCB9FB74240"
696;"53da88d4e4b06d83580625b1";t;"CHESLER, JASON";t;"12564 Broad St.";"HENRICO";"VA";"23233";-77.649822;37.663656;"RUPERT, MICHELLE";"804-360-2119";f;"WAWA, STORE # 0696";"2017-09-01 16:01:00";696;"00:00:00";"00:00:00";t;2.359;2.519;2.819;"0101000020E61000002A8E03AF966953C0A8E507AEF2D44240"
659;"53da88d4e4b06d83580625e8";t;"ADAMS, CHRISTOPHER";t;"11021 Midlothian Tpk.";"Richmond";"VA";"23235";-77.600891;37.505498;"RUPERT, MICHELLE";"804-897-4283";f;"WAWA, STORE # 0659";"2017-09-01 16:01:00";659;"00:00:00";"00:00:00";t;2.359;2.679;2.949;"0101000020E61000007D5D86FF746653C0C2189128B4C04240"
8625;"53da88d6e4b06d8358062627";t;"ADAMS, CHRISTOPHER";t;"10135 Hull Street Rd.";"Midlothian";"VA";"23112";-77.583035;37.442325;"RUPERT, MICHELLE";"804-674-4381";f;"WAWA, STORE # 8625";"2017-09-01 16:01:00";8625;"00:00:00";"00:00:00";t;2.359;2.519;2.819;"0101000020E6100000185B0872506553C0029A081B9EB84240"
8615;"53da88cee4b06d83580624f0";t;"CHESLER, JASON";t;"11052 WEST BROAD STREET";"RICHMOND";"VA";"23220";-77.589907;37.648552;"RUPERT, MICHELLE";"804-527-8302";f;"WAWA, STORE # 8615";"2017-09-01 16:01:00";8615;"00:00:00";"00:00:00";t;2.359;2.659;2.959;"0101000020E61000009D2B4A09C16553C0B1E07EC003D34240"
672;"53da88d1e4b06d8358062555";t;"SOROKA, MARK";t;"7500 Midlothian Tpk.";"Richmond";"VA";"23225";-77.535048;37.500287;"RUPERT, MICHELLE";"804-675-4880";f;"WAWA, STORE # 0672";"2017-09-01 16:01:00";672;"00:00:00";"00:00:00";t;2.359;2.619;2.919;"0101000020E61000009372F7393E6253C096CE876709C04240"
8600;"53da88d7e4b06d835806265a";t;"SOROKA, MARK";t;"7316 Forest Hill Ave.";"Richmond";"VA";"23225";-77.531421;37.537701;"RUPERT, MICHELLE";"804-560-0365";f;"WAWA, STORE # 8600";"2017-09-01 16:01:00";8600;"00:00:00";"00:00:00";t;2.359;2.679;2.979;"0101000020E610000016DA39CD026253C06403E962D3C44240"
670;"53da88c7e4b06d83580623f6";t;"ADAMS, CHRISTOPHER";t;"11021 Ironbridge Rd.";"Richmond";"VA";"23831";-77.497577;37.364186;"RUPERT, MICHELLE";"804-706-6623";f;"WAWA, STORE # 0670";"2017-09-01 16:01:00";670;"00:00:00";"00:00:00";t;2.359;2.459;2.659;"0101000020E61000007A8F334DD85F53C09DD497A59DAE4240"
8603;"53da88d7e4b06d8358062655";t;"CHESLER, JASON";t;"8017 West Broad St.";"Henrico";"VA";"23294";-77.531611;37.625286;"RUPERT, MICHELLE";"804-290-4374";f;"WAWA, STORE # 8603";"2017-09-01 16:01:00";8603;"00:00:00";"00:00:00";t;2.359;2.679;2.979;"0101000020E610000068CC24EA056253C0C652245F09D04240"
673;"53da88bfe4b0e755dc4ec4da";t;"ADAMS, CHRISTOPHER";t;"6001 Ironbridge Rd.";"Richmond";"VA";"23234";-77.48913;37.435069;"RUPERT, MICHELLE";"804-275-5484";f;"WAWA, STORE # 0673";"2017-09-01 16:01:00";673;"00:00:00";"00:00:00";t;2.359;2.559;2.819;"0101000020E6100000855FEAE74D5F53C070404B57B0B74240"
682;"53da88d4e4b06d83580625c1";t;"SOROKA, MARK";t;"8851 STAPLES MILL ROAD";"HENRICO";"VA";"23228";-77.508845;37.635207;"RUPERT, MICHELLE";"804-262-7335";f;"WAWA, STORE # 0682";"2017-09-01 16:01:00";682;"00:00:00";"00:00:00";t;2.359;2.599;2.869;"0101000020E6100000EB6E9EEA906053C05B9885764ED14240"
8630;"53da88cce4b06d83580624aa";t;"CHESLER, JASON";t;"2415 Staples Mill Road";"RICHMOND";"VA";"23230";-77.492698;37.591706;"RUPERT, MICHELLE";"804-354-6804";f;"WAWA, STORE # 8630";"2017-09-01 16:01:00";8630;"00:00:00";"00:00:00";t;2.359;2.639;2.939;"0101000020E61000007F33315D885F53C06A6CAF05BDCB4240"
693;"53da88cfe4b06d835806250d";t;"ADAMS, CHRISTOPHER";t;"604 Boulevard";"Colonial Heights";"VA";"23834";-77.410675;37.244346;"RUPERT, MICHELLE";"804-526-9823";f;"WAWA, STORE # 0693";"2017-09-01 16:01:00";693;"00:00:00";"00:00:00";t;2.359;2.589;2.889;"0101000020E61000003A92CB7F485A53C04774CFBA469F4240"
684;"53da88c4e4b06d835806239b";t;"ADAMS, CHRISTOPHER";t;"15840 Jefferson Davis Hwy.";"Colonial Heights";"VA";"23834";-77.409609;37.305888;"RUPERT, MICHELLE";"804-526-6022";f;"WAWA, STORE # 0684";"2017-09-01 16:01:00";684;"00:00:00";"00:00:00";t;2.359;2.619;2.919;"0101000020E61000006DC9AA08375A53C0931E865627A74240"
692;"53da88d7e4b06d835806265f";t;"ADAMS, CHRISTOPHER";t;"11701 Jefferson Davis Hwy.";"Chester";"VA";"23831";-77.416391;37.367532;"RUPERT, MICHELLE";"804-717-9475";f;"WAWA, STORE # 0692";"2017-09-01 16:01:00";692;"00:00:00";"00:00:00";t;2.259;2.539;2.839;"0101000020E610000052D66F26A65A53C0E21DE0490BAF4240"
8622;"53da88c9e4b06d835806241d";t;"PRUNTY, ROBERT";t;"510 West Shirley Ave.";"Warrenton";"VA";"20186";-77.808968;38.716772;"RUPERT, MICHELLE";"540-349-8999";f;"WAWA, STORE # 8622";"2017-09-01 16:01:00";8622;"00:00:00";"00:00:00";t;2.399;2.659;2.959;"0101000020E6100000ACE0B721C67353C02158552FBF5B4340"
655;"53da88d4e4b06d83580625dd";t;"SOROKA, MARK";t;"5231 Brook Rd.";"Richmond";"VA";"23227";-77.454034;37.604604;"RUPERT, MICHELLE";"804-266-1031";f;"WAWA, STORE # 0655";"2017-09-01 16:01:00";655;"00:00:00";"00:00:00";t;2.359;2.519;2.819;"0101000020E610000069519FE40E5D53C0F183F3A963CD4240"
677;"53da88d4e4b06d83580625cb";t;"SOROKA, MARK";t;"8800 Brook Rd.";"Glen Allen";"VA";"23060";-77.461021;37.6429;"RUPERT, MICHELLE";"804-264-4698";f;"WAWA, STORE # 0677";"2017-09-01 16:01:00";677;"00:00:00";"00:00:00";t;2.359;2.679;2.929;"0101000020E61000003B71395E815D53C0984C158C4AD24240"
8624;"53da88cce4b06d83580624b9";t;"ADAMS, CHRISTOPHER";t;"1260 Temple Ave.";"Colonial Heights";"VA";"23834";-77.383538;37.254478;"RUPERT, MICHELLE";"804-520-6982";f;"WAWA, STORE # 8624";"2017-09-01 16:01:00";8624;"00:00:00";"00:00:00";t;2.359;2.579;2.879;"0101000020E61000007DB1F7E28B5853C097C62FBC92A04240"
683;"53da88cce4b06d83580624ce";t;"ADAMS, CHRISTOPHER";t;"3199 South Crater Rd.";"Petersburg";"VA";"23805";-77.37014;37.189384;"RUPERT, MICHELLE";"804-862-3551";f;"WAWA, STORE # 0683";"2017-09-01 16:01:00";683;"00:00:00";"00:00:00";t;2.299;2.579;2.779;"0101000020E610000041BCAE5FB05753C05D3123BC3D984240"
8607;"53da88c6e4b06d83580623aa";t;"SOROKA, MARK";t;"10373 Sliding Hill Rd.";"Ashland";"VA";"23005";-77.460281;37.686278;"RUPERT, MICHELLE";"804-550-2971";f;"WAWA, STORE # 8607";"2017-09-01 16:01:00";8607;"00:00:00";"00:00:00";t;2.399;2.579;2.879;"0101000020E6100000177E703E755D53C06EFB1EF5D7D74240"
676;"53da88c3e4b06d8358062359";t;"ADAMS, CHRISTOPHER";t;"600 East Hundred Rd.";"CHESTER";"VA";"23836";-77.345244;37.347068;"RUPERT, MICHELLE";"804-530-0822";f;"WAWA, STORE # 0676";"2017-09-01 16:01:00";676;"00:00:00";"00:00:00";t;2.359;2.609;2.859;"0101000020E6100000F9484A7A185653C07BBE66B96CAC4240"
8602;"53da88c4e4b06d8358062391";t;"SOROKA, MARK";t;"9179 CHAMBERLAYNE ROAD";"MECHANICSVILLE";"VA";"23005";-77.404271;37.649467;"RUPERT, MICHELLE";"804-746-4052";f;"WAWA, STORE # 8602";"2017-09-01 16:01:00";8602;"00:00:00";"00:00:00";t;2.399;2.599;2.879;"0101000020E610000028EE7893DF5953C0666A12BC21D34240"
8635;"53fd823ee4b092d8b8ef197f";t;"CHESLER, JASON";t;"1300 North Laburnum Ave";"RICHMOND";"VA";"23223";-77.37654;37.561918;"RUPERT, MICHELLE";"804-225-8104";f;"WAWA, STORE # 8635";"2017-09-01 16:01:00";8635;"00:00:00";"00:00:00";t;2.359;2.639;2.889;"0101000020E6100000B2683A3B195853C05184D4EDECC74240"
698;"53da88bfe4b0e755dc4ec4e8";t;"ADAMS, CHRISTOPHER";t;"907 Colonial Corner Dr.";"Hopewell";"VA";"23860";-77.316961;37.271281;"RUPERT, MICHELLE";"804-452-3089";f;"WAWA, STORE # 0698";"2017-09-01 16:01:00";698;"00:00:00";"00:00:00";t;2.359;2.579;2.829;"0101000020E6100000E146CA16495453C05A83F755B9A24240"
