X,Y,locationid,objectid,hasmenu,areamanager,open24hours,address,city,state,zip,longitude,latitude,regionaldirector,telephone,isactive,storename,lastupdated,storenumber,storeopen,storeclose,hasfuel,unleadedprice,plusprice,premiumprice
-75.552139,40.566539,287,53da88d1e4b06d8358062557,t,"SEEGER, JOY",t,4900 Hamilton Blvd.,Allentown,PA,18106,-75.552139,40.566539,"DEPAOLO, GINA",610-530-9980,t,"WAWA, STORE # 0287",2017-09-07 16:01:00,287,00:00:00,00:00:00,t,2.859,3.159,3.359
-75.562087,39.900712,298,53da88cee4b06d8358062508,t,"GAMBIER, RACHEL",t,1413 Wilmington Pk.,West Chester,PA,19382,-75.562087,39.900712,"HERLING, TERRENCE",610-696-6781,t,"WAWA, STORE # 0298",2017-09-07 16:01:00,298,00:00:00,00:00:00,t,2.879,3.219,3.419
-74.341848,40.111754,309,53da88cce4b06d83580624c6,t,"CRESPO, ALEASE",t,9 Bennetts Mills Rd.,Jackson,NJ,08527,-74.341848,40.111754,"READ, JASON",732-928-3457,t,"WAWA, STORE # 0309",2017-09-07 16:01:00,309,00:00:00,00:00:00,f,,,
-74.144819,40.097474,401,53da88c9e4b06d8358062413,t,"WADE, ADAM",t,6 Lanes Mill Rd.,BRICK,NJ,08724,-74.144819,40.097474,"MURPHY, MAUREEN",732-458-6721,t,"WAWA, STORE # 0401",2017-09-07 16:01:00,401,00:00:00,00:00:00,f,,,
-74.821183,39.190516,470,53da88d6e4b06d8358062608,t,"ALLAR, LORI",t,121 Main St.,Dennisville,NJ,08214,-74.821183,39.190516,"WEISER, MARIAN",609-861-7147,t,"WAWA, STORE # 0470",2017-09-07 16:01:00,470,00:00:00,00:00:00,f,,,
-76.758961,39.333194,598,53da88bee4b0e755dc4ec4a0,t,"LUST, RENEE",t,2845 North Rolling Rd.,Windsor Mill,MD,21244,-76.758961,39.333194,"SHARPLESS, JOHN",410-448-2019,t,"WAWA, STORE # 0598",2017-09-07 16:01:00,598,00:00:00,00:00:00,t,2.699,2.999,3.199
-77.622509,38.792562,651,53da88cce4b06d83580624b4,t,"PRUNTY, ROBERT",t,14461 Lee Hwy.,Gainesville,VA,20155,-77.622509,38.792562,"RUPERT, MICHELLE",571-261-4089,t,"WAWA, STORE # 0651",2017-09-07 16:01:00,651,00:00:00,00:00:00,t,2.499,2.799,3.099
-75.052709,39.572033,486,53da88d8e4b06d835806266b,t,"GORDON, GEORGE",t,450 Delsea Dr.,Malaga,NJ,08328,-75.052709,39.572033,"WEISER, MARIAN",856-694-4490,t,"WAWA, STORE # 0486",2017-09-07 16:01:00,486,00:00:00,00:00:00,t,2.699,3.039,3.199
-77.494321,38.264412,653,53da88bee4b0e755dc4ec4bc,t,"CARTER, MICHAEL",t,4625 Harrison Rd.,Fredericksburg,VA,22408,-77.494321,38.264412,"RUPERT, MICHELLE",540-898-3701,t,"WAWA, STORE # 0653",2017-09-07 16:01:00,653,00:00:00,00:00:00,t,2.499,2.799,3.099
-76.095959,36.833543,671,53da88cee4b06d83580624d1,t,"HOLMAN, AMANDA",t,201 SOUTH ROSEMONT RD.,Virginia Beach,VA,23452,-76.095959,36.833543,"RUPERT, MICHELLE",757-463-8936,t,"WAWA, STORE # 0671",2017-09-07 16:01:00,671,00:00:00,00:00:00,t,2.499,2.749,2.949
-76.136163,36.905032,675,53da88cee4b06d83580624de,t,"HOLMAN, AMANDA",t,4800 Shore Dr.,Virginia Beach,VA,23455,-76.136163,36.905032,"RUPERT, MICHELLE",757-460-5329,t,"WAWA, STORE # 0675",2017-09-07 16:01:00,675,00:00:00,00:00:00,t,2.499,2.749,2.949
-76.711631,37.27335,681,53da88c4e4b06d835806238d,t,"HOLMAN, AMANDA",t,315 Richmond Rd.,Williamsburg,VA,23185,-76.711631,37.27335,"RUPERT, MICHELLE",757-258-1322,t,"WAWA, STORE # 0681",2017-09-07 16:01:00,681,00:00:00,00:00:00,f,,,
-77.493138,38.249648,691,53da88c9e4b06d835806242a,t,"CARTER, MICHAEL",t,199 Falcon Dr.,Fredericksburg,VA,22408,-77.493138,38.249648,"RUPERT, MICHELLE",540-834-2025,t,"WAWA, STORE # 0691",2017-09-07 16:01:00,691,00:00:00,00:00:00,t,2.499,2.799,3.079
-77.416391,37.367532,692,53da88d7e4b06d835806265f,t,"ADAMS, CHRISTOPHER",t,11701 Jefferson Davis Hwy.,Chester,VA,23831,-77.416391,37.367532,"RUPERT, MICHELLE",804-717-9475,t,"WAWA, STORE # 0692",2017-09-07 16:01:00,692,00:00:00,00:00:00,t,2.499,2.779,3.079
-77.410675,37.244346,693,53da88cfe4b06d835806250d,t,"ADAMS, CHRISTOPHER",t,604 Boulevard,Colonial Heights,VA,23834,-77.410675,37.244346,"RUPERT, MICHELLE",804-526-9823,t,"WAWA, STORE # 0693",2017-09-07 16:01:00,693,00:00:00,00:00:00,t,2.459,2.759,3.059
-76.07469,36.84462,694,53da88c6e4b06d83580623b9,t,"FOSSELLA, JASON",t,2954 Virginia Beach Blvd.,Virginia Beach,VA,23462,-76.07469,36.84462,"RUPERT, MICHELLE",757-340-2615,t,"WAWA, STORE # 0694",2017-09-07 16:01:00,694,00:00:00,00:00:00,t,2.459,2.709,2.959
-82.45881,28.0248,5196,55b8909be4b03b6b0b19240f,t,"MORTON, RICHARD",t,8325 N FLORIDA AVE,TAMPA,FL,33604-3005,-82.45881,28.0248,"PREVOST, DAVID",813-495-5801,t,"WAWA, STORE # 5196",2017-09-07 16:01:00,5196,00:00:00,00:00:00,t,2.699,2.949,3.199
-82.309747,27.937242,5197,55b88f61e4b0f6c705207f70,t,"FORRETT, STACIE",t,1710 W. BRANDON BLVD,BRANDON,FL,33510,-82.309747,27.937242,"PREVOST, DAVID",813-400-5296,t,"WAWA, STORE # 5197",2017-09-07 16:01:00,5197,00:00:00,00:00:00,t,2.699,2.949,3.199
-74.210694,40.049345,8319,53da88cfe4b06d835806252b,t,"MOREY, JOHN",t,135 Route 70,Lakewood,NJ,08701,-74.210694,40.049345,"MURPHY, MAUREEN",732-942-3914,t,"WAWA, STORE # 8319",2017-09-07 16:01:00,8319,00:00:00,00:00:00,t,2.699,2.999,3.199
-77.531421,37.537701,8600,53da88d7e4b06d835806265a,t,"SOROKA, MARK",t,7316 Forest Hill Ave.,Richmond,VA,23225,-77.531421,37.537701,"RUPERT, MICHELLE",804-560-0365,t,"WAWA, STORE # 8600",2017-09-07 16:01:00,8600,00:00:00,00:00:00,t,2.459,2.779,3.079
-77.404271,37.649467,8602,53da88c4e4b06d8358062391,t,"SOROKA, MARK",t,9179 CHAMBERLAYNE ROAD,MECHANICSVILLE,VA,23005,-77.404271,37.649467,"RUPERT, MICHELLE",804-746-4052,t,"WAWA, STORE # 8602",2017-09-07 16:01:00,8602,00:00:00,00:00:00,t,2.459,2.779,3.039
-77.531611,37.625286,8603,53da88d7e4b06d8358062655,t,"CHESLER, JASON",t,8017 West Broad St.,Henrico,VA,23294,-77.531611,37.625286,"RUPERT, MICHELLE",804-290-4374,t,"WAWA, STORE # 8603",2017-09-07 16:01:00,8603,00:00:00,00:00:00,t,2.459,2.779,3.079
-77.32899,37.524564,8605,53da88cae4b06d8358062463,t,"CHESLER, JASON",t,500 South Airport Dr.,Sandston,VA,23150,-77.32899,37.524564,"RUPERT, MICHELLE",804-652-1890,t,"WAWA, STORE # 8605",2017-09-07 16:01:00,8605,00:00:00,00:00:00,t,2.459,2.739,2.989
-77.348948,37.512122,8626,53da88d6e4b06d835806260b,t,"CHESLER, JASON",t,5301 South Laburnum Ave.,Henrico,VA,23231,-77.348948,37.512122,"RUPERT, MICHELLE",804-226-1040,t,"WAWA, STORE # 8626",2017-09-07 16:01:00,8626,00:00:00,00:00:00,t,2.459,2.759,2.989
-77.496352,38.344223,8627,53da88d6e4b06d835806260d,t,"CARTER, MICHAEL",t,9 South Gateway Dr.,Fredericksburg,VA,22406,-77.496352,38.344223,"RUPERT, MICHELLE",540-373-6203,t,"WAWA, STORE # 8627",2017-09-07 16:01:00,8627,00:00:00,00:00:00,t,2.499,2.799,3.099
-77.492698,37.591706,8630,53da88cce4b06d83580624aa,t,"CHESLER, JASON",t,2415 Staples Mill Road,RICHMOND,VA,23230,-77.492698,37.591706,"RUPERT, MICHELLE",804-354-6804,t,"WAWA, STORE # 8630",2017-09-07 16:01:00,8630,00:00:00,00:00:00,t,2.519,2.839,3.139
-77.328317,37.613433,8634,53da88d1e4b06d8358062536,t,"CHESLER, JASON",t,7847 Compass Point Lane,Mechanicsville,VA,23111,-77.328317,37.613433,"RUPERT, MICHELLE",804-569-6149,t,"WAWA, STORE # 8634",2017-09-07 16:01:00,8634,00:00:00,00:00:00,t,2.459,2.779,3.029
-77.37654,37.561918,8635,53fd823ee4b092d8b8ef197f,t,"CHESLER, JASON",t,1300 North Laburnum Ave,RICHMOND,VA,23223,-77.37654,37.561918,"RUPERT, MICHELLE",804-225-8104,t,"WAWA, STORE # 8635",2017-09-07 16:01:00,8635,00:00:00,00:00:00,t,2.459,2.759,3.009
-75.615756,39.990726,81,53da88cee4b06d83580624e5,t,"OHARA, TIM",t,1195 Pottstown Pk.,West Chester,PA,19380,-75.615756,39.990726,"HERLING, TERRENCE",610-696-9832,t,"WAWA, STORE # 0081",2017-09-07 16:01:00,81,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.591951,41.09266,159,53da88c9e4b06d835806244d,t,"SEEGER, JOY",t,296 Route 940,Blakeslee,PA,18610,-75.591951,41.09266,"DEPAOLO, GINA",570-646-6707,t,"WAWA, STORE # 0159",2017-09-07 16:01:00,159,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.534933,39.88303,198,53da88cce4b06d83580624b3,t,"GAMBIER, RACHEL",t,970 Baltimore Pk.,Glen Mills,PA,19342,-75.534933,39.88303,"HERLING, TERRENCE",610-558-8052,t,"WAWA, STORE # 0198",2017-09-07 16:01:00,198,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.571864,40.035924,208,53da88c9e4b06d8358062417,t,"OHARA, TIM",t,567 Lancaster Ave.,MALVERN,PA,19355,-75.571864,40.035924,"HERLING, TERRENCE",610-647-7601,t,"WAWA, STORE # 0208",2017-09-07 16:01:00,208,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.48543,39.896421,269,53da88cce4b06d8358062485,t,"GAMBIER, RACHEL",t,36 Baltimore Pk.,Glen Mills,PA,19342,-75.48543,39.896421,"HERLING, TERRENCE",610-558-8341,t,"WAWA, STORE # 0269",2017-09-07 16:01:00,269,00:00:00,00:00:00,t,2.899,3.199,3.399
-75.616362,40.009324,203,53da88d1e4b06d8358062552,t,"EDWARDS, CHRISTOPHER",t,10 West Boot Rd.,West Chester,PA,19380,-75.616362,40.009324,"HERLING, TERRENCE",610-692-4640,t,"WAWA, STORE # 0203",2017-09-07 16:01:00,203,00:00:00,00:00:00,f,,,
-75.080545,39.617146,444,53da88d6e4b06d835806262b,t,"GORDON, GEORGE",t,2515 Delsea Dr.,Franklin,NJ,08322,-75.080545,39.617146,"WEISER, MARIAN",856-694-1149,t,"WAWA, STORE # 0444",2017-09-07 16:01:00,444,00:00:00,00:00:00,f,,,
-74.246273,40.332576,784,53da88c4e4b06d83580623a0,t,"CRESPO, ALEASE",t,455 County Rd. 520 West,Marlboro,NJ,07746,-74.246273,40.332576,"READ, JASON",732-972-4514,t,"WAWA, STORE # 0784",2017-09-07 16:01:00,784,00:00:00,00:00:00,f,,,
-75.512812,39.158305,838,53da88bfe4b0e755dc4ec4d7,t,"WYNNE, AMANDA",t,290 South Dupont Hwy.,Dover,DE,19901,-75.512812,39.158305,"SHARPLESS, JOHN",302-734-2871,t,"WAWA, STORE # 0838",2017-09-07 16:01:00,838,00:00:00,00:00:00,t,2.659,2.919,3.119
-74.286799,40.425393,934,53da88d1e4b06d8358062541,t,"CRESPO, ALEASE",t,177 Route 34,Matawan,NJ,07747,-74.286799,40.425393,"READ, JASON",732-335-5500,t,"WAWA, STORE # 0934",2017-09-07 16:01:00,934,00:00:00,00:00:00,t,2.699,2.979,3.179
-81.309793,28.573786,5111,53da88cee4b06d83580624f7,t,"REYNOLDS, ANGELA",t,2239 North Semoran Blvd.,Orlando,FL,32807,-81.309793,28.573786,"SOUDERS, TODD",407-671-1061,t,"WAWA, STORE # 5111",2017-09-07 16:01:00,5111,00:00:00,00:00:00,t,2.699,2.949,3.199
-81.006818,29.127328,5172,53fd8254e4b092d8b8ef1980,t,"MOONINGHAM, STEPHANI",t,1031 Dunlawton Ave,PORT ORANGE,FL,32127,-81.006818,29.127328,"SOUDERS, TODD",386-763-5503,t,"WAWA, STORE # 5172",2017-09-07 16:01:00,5172,00:00:00,00:00:00,t,2.699,2.949,3.199
-81.024573,29.111624,5173,53fd896de4b00d42a37783cd,t,"MOONINGHAM, STEPHANI",t,1740 DUNLAWTON AVE,PORT ORANGE,FL,32127,-81.024573,29.111624,"SOUDERS, TODD",386-767-7554,t,"WAWA, STORE # 5173",2017-09-07 16:01:00,5173,00:00:00,00:00:00,t,2.699,2.949,3.199
-75.614814,40.243408,8040,53da88bee4b0e755dc4ec4bb,t,"MANN, CLAIRE",t,1520 E HIGH STREET,POTTSTOWN,PA,19464,-75.614814,40.243408,"DEPAOLO, GINA",610-718-0889,t,"WAWA, STORE # 8040",2017-09-07 16:01:00,8040,00:00:00,00:00:00,t,2.899,3.199,3.439
-74.350743,40.850092,8302,53da88d7e4b06d8358062646,t,"KENT, SCOTT",t,350 NEW ROAD,Parsippany,NJ,07054,-74.350743,40.850092,"READ, JASON",973-227-4760,t,"WAWA, STORE # 8302",2017-09-07 16:01:00,8302,00:00:00,00:00:00,t,2.759,3.059,3.159
