has_menu,last_updated,location_id,open_24_hours,regional_director,store_close,store_name,store_number,store_open,telephone,address,city,state,zip,longitude,latitude,unleaded_price,plus_price,premium_price,diesel_price,has_food,has_fuel,has_restrooms,has_ethanol_free_gas,has_tesla_charging_station
True,2019-03-31 16:02:00,05100,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5100",05100,00:00:00,407-578-8574,2507 N JOHN YOUNG PKWY,Orlando,FL,32804,-81.415493,28.57746,2.719,3.019,3.249,2.949,True,True,True,False,False
True,2019-03-31 16:02:00,05101,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5101",05101,00:00:00,407-345-5210,5910 Central Florida Parkway,Orlando,FL,32821,-81.457508,28.40576,2.699,2.999,3.229,2.919,True,True,True,False,False
True,2019-03-31 16:02:00,05102,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5102",05102,00:00:00,407-944-1101,2184 E. Irlo Bronson Memorial,Kissimmee,FL,34744,-81.355691,28.285902,2.729,3.029,3.329,2.839,True,True,True,False,False
True,2019-03-31 16:02:00,05103,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5103",05103,00:00:00,407-380-9800,4700 South Goldenrod Rd.,Orlando,FL,32822,-81.288018,28.480173,2.689,2.989,3.289,2.839,True,True,True,False,False
True,2019-03-31 16:02:00,05104,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5104",05104,00:00:00,407-870-1502,2499 N. Orange Blossom Trail,Kissimmee,FL,34744,-81.402951,28.318497,2.739,3.039,3.339,2.959,True,True,True,False,False
True,2019-03-31 16:02:00,05105,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5105",05105,00:00:00,407-240-3238,7030 S. Orange Blossom Trail,Orlando,FL,32809,-81.398043,28.463749,2.689,2.989,3.219,2.919,True,True,True,True,False
True,2019-03-31 16:02:00,05106,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5106",05106,00:00:00,863-858-7659,4320 U.S. Highway 98 N.,Lakeland,FL,33805,-81.974819,28.098128,2.689,2.989,3.219,2.959,True,True,True,True,False
True,2019-03-31 16:02:00,05107,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5107",05107,00:00:00,813-971-5434,11510 North 30th St.,Tampa,FL,33612,-82.426987,28.05323,2.699,2.999,3.299,2.869,True,True,True,False,False
True,2019-03-31 16:02:00,05108,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5108",05108,00:00:00,727-219-1010,8519 US 19 North,Port Richey,FL,34668,-82.716134,28.28098,2.669,2.979,3.279,2.889,True,True,True,False,False
True,2019-03-31 16:02:00,05109,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5109",05109,00:00:00,727-848-5425,8330 Ridge Rd.,New Port Richey,FL,34668,-82.676652,28.279955,2.679,2.979,3.279,2.909,True,True,True,False,False
True,2019-03-31 16:02:00,05110,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5110",05110,00:00:00,727-576-1804,3101 Gandy Blvd.,Pinellas Park,FL,33782,-82.677714,27.845812,2.669,2.969,3.269,2.819,True,True,True,False,True
True,2019-03-31 16:02:00,05111,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5111",05111,00:00:00,407-671-1061,2239 North Semoran Blvd.,Orlando,FL,32807,-81.309793,28.573786,2.739,3.039,3.269,2.989,True,True,True,True,False
True,2019-03-31 16:02:00,05112,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5112",05112,00:00:00,407-464-3171,1615 S. Orange Blossom Trail,Apopka,FL,32703,-81.468741,28.654012,2.699,2.999,3.299,2.999,True,True,True,True,False
True,2019-03-31 16:02:00,05113,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5113",05113,00:00:00,407-381-1129,8049 East Colonial Dr.,Orlando,FL,32807,-81.278309,28.569155,2.739,3.039,3.269,2.989,True,True,True,True,False
True,2019-03-31 16:02:00,05114,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5114",05114,00:00:00,813-623-3295,3942 N. US Highway 301,Tampa,FL,33619,-82.361267,27.980882,2.759,3.059,3.289,2.939,True,True,True,True,False
True,2019-03-31 16:02:00,05115,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5115",05115,00:00:00,727-847-5134,4026 US Highway 19,New Port Richey,FL,34652,-82.736208,28.217739,2.699,3.019,3.279,2.899,True,True,True,False,False
True,2019-03-31 16:02:00,05116,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5116",05116,00:00:00,407-710-0070,3140 VINELAND ROAD,Kissimmee,FL,34746,-81.483787,28.341157,2.699,2.999,,2.919,True,True,True,True,False
True,2019-03-31 16:02:00,05117,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5117",05117,00:00:00,407-268-3725,3510 N. U.S. Hwy 17-92,Lake Mary,FL,32746,-81.309412,28.732386,2.669,2.969,3.269,2.969,True,True,True,True,False
True,2019-03-31 16:02:00,05118,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5118",05118,00:00:00,407-359-0144,3000 Alafaya Trail,Oviedo,FL,32765,-81.208733,28.627035,2.719,3.019,3.249,2.919,True,True,True,True,False
True,2019-03-31 16:02:00,05119,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5119",05119,00:00:00,407-477-1050,8849 W Irlo Bronson Memorial H,Winter Garden,FL,34787,-81.647142,28.347676,2.739,3.039,3.339,2.899,True,True,True,True,False
True,2019-03-31 16:02:00,05121,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5121",05121,00:00:00,352-792-0808,16126 GREATER GROVES BLVD,CLERMONT,FL,34714,-81.687915,28.378389,2.739,3.039,3.269,2.919,True,True,True,True,False
True,2019-03-31 16:02:00,05122,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5122",05122,00:00:00,813-874-2760,401 N DALE MABRY HWY,Tampa,FL,33609,-82.504824,27.948992,2.739,3.039,3.269,2.899,True,True,True,True,False
True,2019-03-31 16:02:00,05123,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5123",05123,00:00:00,407-891-7025,1125 E. Irlo Bronson Memorial,St. Cloud,FL,34769,-81.256693,28.246726,2.729,3.029,3.329,2.939,True,True,True,True,False
True,2019-03-31 16:02:00,05124,True,"HASHER, STEVE",00:00:00,"WAWA, STORE # 5124",05124,00:00:00,407-944-3302,5035 S. Orange Blossom Tr.,Kissimmee,FL,34758,-81.484319,28.256287,2.739,3.039,3.339,2.999,True,True,True,True,False
True,2019-03-31 16:02:00,05125,True,"FILANO, DAVE",00:00:00,"WAWA, STORE # 5125",05125,00:00:00,727-526-8350,6200 N. 34th St.,Pinellas Park,FL,33781,-82.68037,27.828801,2.689,2.989,3.289,2.809,True,True,True,True,False
